,caption,videopath,score
0,an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an elephant spraying itself with water using its trunk to cool down.mp4,4.0
1,a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a car slowing down to stop.mp4,5.0
2,a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a dog enjoying a peaceful walk.mp4,5.0
3,a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a horse galloping across an open field.mp4,5.0
4,a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a sheep running to join a herd of its kind.mp4,5.0
5,a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cow running to join a herd of its kind.mp4,5.0
6,a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bird building a nest from twigs and leaves.mp4,4.0
7,a person giving a presentation to a room full of colleagues,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person giving a presentation to a room full of colleagues.mp4,4.0
8,a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cat grooming itself meticulously with its tongue.mp4,4.0
9,a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cow bending down to drink water from a river.mp4,5.0
10,a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bus accelerating to gain speed.mp4,4.0
11,a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a train accelerating to gain speed.mp4,5.0
12,a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bicycle leaning against a tree.mp4,4.0
13,a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a dog drinking water.mp4,5.0
14,a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a boat accelerating to gain speed.mp4,4.0
15,a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a car accelerating to gain speed.mp4,4.0
16,an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/an elephant running to join a herd of its kind.mp4,5.0
17,a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a car turning a corner.mp4,4.0
18,a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person playing guitar.mp4,4.0
19,a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a horse bending down to drink water from a river.mp4,5.0
20,a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a bicycle slowing down to stop.mp4,4.0
21,a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a zebra bending down to drink water from a river.mp4,5.0
22,a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person eating a burger.mp4,5.0
23,a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person swimming in ocean.mp4,4.0
24,a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a motorcycle accelerating to gain speed.mp4,5.0
25,a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a cat drinking water.mp4,5.0
26,a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a car stuck in traffic during rush hour.mp4,3.0
27,a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a person walking in the snowstorm.mp4,5.0
28,a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a dog running happily.mp4,4.0
29,a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho1.0_cfg5.0nodyna/a giraffe taking a peaceful walk.mp4,5.0
