caption,videopath
a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a horse galloping across an open field.mp4
a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a dog playing in park.mp4
a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a sheep bending down to drink water from a river.mp4
a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a train speeding down the tracks.mp4
an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an elephant taking a peaceful walk.mp4
a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a zebra running to join a herd of its kind.mp4
a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person walking in the snowstorm.mp4
a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cat drinking water.mp4
a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cat playing in park.mp4
a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bear catching a salmon in its powerful jaws.mp4
a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a car turning a corner.mp4
a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person eating a burger.mp4
a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a truck anchored in a tranquil bay.mp4
a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cow chewing cud while resting in a tranquil barn.mp4
a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bicycle gliding through a snowy field.mp4
a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a boat accelerating to gain speed.mp4
a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a dog drinking water.mp4
a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a motorcycle accelerating to gain speed.mp4
a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a sheep taking a peaceful walk.mp4
a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bird building a nest from twigs and leaves.mp4
a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bus turning a corner.mp4
a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a car stuck in traffic during rush hour.mp4
an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an airplane accelerating to gain speed.mp4
a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a zebra taking a peaceful walk.mp4
a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a truck slowing down to stop.mp4
a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cow running to join a herd of its kind.mp4
a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a motorcycle turning a corner.mp4
a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bear hunting for prey.mp4
an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an airplane soaring through a clear blue sky.mp4
a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bear climbing a tree.mp4
a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person swimming in ocean.mp4
a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a boat slowing down to stop.mp4
a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person washing the dishes.mp4
a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a motorcycle slowing down to stop.mp4
a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bus accelerating to gain speed.mp4
a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a sheep running to join a herd of its kind.mp4
a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a zebra bending down to drink water from a river.mp4
a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a horse bending down to drink water from a river.mp4
a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bicycle leaning against a tree.mp4
a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a truck accelerating to gain speed.mp4
a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person drinking coffee in a cafe.mp4
a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a car accelerating to gain speed.mp4
a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bird soaring gracefully in the sky.mp4
a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a horse taking a peaceful walk.mp4
a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a person playing guitar.mp4
an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an airplane taking off.mp4
a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cat grooming itself meticulously with its tongue.mp4
a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a train crossing over a tall bridge.mp4
a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a car slowing down to stop.mp4
a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cow bending down to drink water from a river.mp4
a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a cat running happily.mp4
a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a giraffe bending down to drink water from a river.mp4
a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a motorcycle gliding through a snowy field.mp4
a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a bear sniffing the air for scents of food.mp4
an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an airplane landing smoothly on a runway.mp4
a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a giraffe taking a peaceful walk.mp4
an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an elephant running to join a herd of its kind.mp4
a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a boat sailing smoothly on a calm lake.mp4
a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/a dog enjoying a peaceful walk.mp4
an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/wan_rej_nt50_w8c4s2_mean/subject_consistency/an elephant spraying itself with water using its trunk to cool down.mp4
