caption,videopath
a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bear climbing a tree.mp4
a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person washing the dishes.mp4
a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a giraffe running to join a herd of its kind.mp4
a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a boat slowing down to stop.mp4
a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bus stuck in traffic during rush hour.mp4
a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a giraffe bending down to drink water from a river.mp4
a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a truck anchored in a tranquil bay.mp4
a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a boat sailing smoothly on a calm lake.mp4
an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an elephant running to join a herd of its kind.mp4
a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bird flying over a snowy forest.mp4
an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an airplane taking off.mp4
a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cow bending down to drink water from a river.mp4
a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a giraffe taking a peaceful walk.mp4
an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an elephant taking a peaceful walk.mp4
an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an elephant spraying itself with water using its trunk to cool down.mp4
a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bicycle leaning against a tree.mp4
a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a zebra running to join a herd of its kind.mp4
a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bus accelerating to gain speed.mp4
a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person playing guitar.mp4
a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a zebra taking a peaceful walk.mp4
a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a motorcycle slowing down to stop.mp4
a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a truck turning a corner.mp4
a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a car accelerating to gain speed.mp4
a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a sheep taking a peaceful walk.mp4
a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cat running happily.mp4
a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a horse bending down to drink water from a river.mp4
a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a zebra bending down to drink water from a river.mp4
a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cat grooming itself meticulously with its tongue.mp4
a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bear catching a salmon in its powerful jaws.mp4
a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a dog running happily.mp4
a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a cow running to join a herd of its kind.mp4
an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an airplane soaring through a clear blue sky.mp4
a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bear sniffing the air for scents of food.mp4
an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/an airplane accelerating to gain speed.mp4
a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bear hunting for prey.mp4
a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a horse taking a peaceful walk.mp4
a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a boat accelerating to gain speed.mp4
a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a motorcycle accelerating to gain speed.mp4
a person giving a presentation to a room full of colleagues,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person giving a presentation to a room full of colleagues.mp4
a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a truck accelerating to gain speed.mp4
a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a car stuck in traffic during rush hour.mp4
a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person drinking coffee in a cafe.mp4
a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a bird building a nest from twigs and leaves.mp4
a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a truck slowing down to stop.mp4
a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a car slowing down to stop.mp4
a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person eating a burger.mp4
a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a motorcycle gliding through a snowy field.mp4
a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a dog playing in park.mp4
a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a motorcycle cruising along a coastal highway.mp4
a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0nodyna/a person swimming in ocean.mp4
