,caption,videopath,score
0,a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cow bending down to drink water from a river.mp4,5.0
1,a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a car turning a corner.mp4,3.0
2,a person giving a presentation to a room full of colleagues,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person giving a presentation to a room full of colleagues.mp4,4.0
3,an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/an elephant running to join a herd of its kind.mp4,3.0
4,a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cat running happily.mp4,4.0
5,a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cow running to join a herd of its kind.mp4,4.0
6,a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a cow chewing cud while resting in a tranquil barn.mp4,5.0
7,a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a bird soaring gracefully in the sky.mp4,4.0
8,a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a boat sailing smoothly on a calm lake.mp4,5.0
9,a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person walking in the snowstorm.mp4,4.0
10,a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/subject_consistency/guidance_f33_s50_w16c8_rho10.0_cfg5.0torch/a person playing guitar.mp4,4.0
