,caption,videopath,score
0,an airplane soaring through a clear blue sky,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an airplane soaring through a clear blue sky.mp4,5.0
1,a bird flying over a snowy forest,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bird flying over a snowy forest.mp4,5.0
2,a motorcycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a motorcycle gliding through a snowy field.mp4,5.0
3,a cat playing in park,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cat playing in park.mp4,5.0
4,a bird soaring gracefully in the sky,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bird soaring gracefully in the sky.mp4,5.0
5,a giraffe bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a giraffe bending down to drink water from a river.mp4,4.0
6,an elephant spraying itself with water using its trunk to cool down,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an elephant spraying itself with water using its trunk to cool down.mp4,4.0
7,a horse galloping across an open field,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a horse galloping across an open field.mp4,5.0
8,a bear sniffing the air for scents of food,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bear sniffing the air for scents of food.mp4,4.0
9,a sheep bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a sheep bending down to drink water from a river.mp4,5.0
10,a bicycle leaning against a tree,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bicycle leaning against a tree.mp4,3.0
11,a motorcycle turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a motorcycle turning a corner.mp4,4.0
12,a dog playing in park,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a dog playing in park.mp4,5.0
13,a bus accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bus accelerating to gain speed.mp4,3.0
14,a truck stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a truck stuck in traffic during rush hour.mp4,4.0
15,a horse running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a horse running to join a herd of its kind.mp4,4.0
16,a person eating a burger,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person eating a burger.mp4,5.0
17,a car accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a car accelerating to gain speed.mp4,4.0
18,a cow running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cow running to join a herd of its kind.mp4,3.0
19,a train crossing over a tall bridge,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a train crossing over a tall bridge.mp4,3.0
20,a truck anchored in a tranquil bay,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a truck anchored in a tranquil bay.mp4,5.0
21,a bicycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bicycle accelerating to gain speed.mp4,4.0
22,a bicycle gliding through a snowy field,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bicycle gliding through a snowy field.mp4,5.0
23,an airplane taking off,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an airplane taking off.mp4,4.0
24,a bear hunting for prey,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bear hunting for prey.mp4,4.0
25,a car slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a car slowing down to stop.mp4,2.0
26,a giraffe taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a giraffe taking a peaceful walk.mp4,5.0
27,a person swimming in ocean,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person swimming in ocean.mp4,5.0
28,a motorcycle accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a motorcycle accelerating to gain speed.mp4,4.0
29,an airplane accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an airplane accelerating to gain speed.mp4,4.0
30,a sheep running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a sheep running to join a herd of its kind.mp4,4.0
31,a cat grooming itself meticulously with its tongue,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cat grooming itself meticulously with its tongue.mp4,3.0
32,an elephant taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an elephant taking a peaceful walk.mp4,4.0
33,an elephant running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an elephant running to join a herd of its kind.mp4,3.0
34,a motorcycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a motorcycle slowing down to stop.mp4,3.0
35,a zebra taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a zebra taking a peaceful walk.mp4,5.0
36,a bear catching a salmon in its powerful jaws,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bear catching a salmon in its powerful jaws.mp4,4.0
37,a car stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a car stuck in traffic during rush hour.mp4,4.0
38,a cow bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cow bending down to drink water from a river.mp4,5.0
39,a sheep taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a sheep taking a peaceful walk.mp4,4.0
40,a giraffe running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a giraffe running to join a herd of its kind.mp4,4.0
41,a bear climbing a tree,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bear climbing a tree.mp4,4.0
42,a train speeding down the tracks,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a train speeding down the tracks.mp4,5.0
43,a person playing guitar,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person playing guitar.mp4,4.0
44,a person washing the dishes,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person washing the dishes.mp4,4.0
45,a truck slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a truck slowing down to stop.mp4,3.0
46,a boat slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a boat slowing down to stop.mp4,3.0
47,a train accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a train accelerating to gain speed.mp4,4.0
48,a bus turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bus turning a corner.mp4,3.0
49,an airplane landing smoothly on a runway,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/an airplane landing smoothly on a runway.mp4,4.0
50,a person giving a presentation to a room full of colleagues,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person giving a presentation to a room full of colleagues.mp4,4.0
51,a cat drinking water,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cat drinking water.mp4,5.0
52,a horse taking a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a horse taking a peaceful walk.mp4,4.0
53,a zebra bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a zebra bending down to drink water from a river.mp4,4.0
54,a motorcycle cruising along a coastal highway,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a motorcycle cruising along a coastal highway.mp4,5.0
55,a horse bending down to drink water from a river,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a horse bending down to drink water from a river.mp4,4.0
56,a boat accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a boat accelerating to gain speed.mp4,4.0
57,a person drinking coffee in a cafe,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person drinking coffee in a cafe.mp4,4.0
58,a dog drinking water,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a dog drinking water.mp4,5.0
59,a truck accelerating to gain speed,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a truck accelerating to gain speed.mp4,4.0
60,a dog enjoying a peaceful walk,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a dog enjoying a peaceful walk.mp4,5.0
61,a boat sailing smoothly on a calm lake,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a boat sailing smoothly on a calm lake.mp4,5.0
62,a dog running happily,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a dog running happily.mp4,5.0
63,a car turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a car turning a corner.mp4,3.0
64,a zebra running to join a herd of its kind,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a zebra running to join a herd of its kind.mp4,4.0
65,a person walking in the snowstorm,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a person walking in the snowstorm.mp4,5.0
66,a cat running happily,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cat running happily.mp4,5.0
67,a bird building a nest from twigs and leaves,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bird building a nest from twigs and leaves.mp4,4.0
68,a truck turning a corner,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a truck turning a corner.mp4,3.0
69,a cow chewing cud while resting in a tranquil barn,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a cow chewing cud while resting in a tranquil barn.mp4,5.0
70,a bicycle slowing down to stop,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bicycle slowing down to stop.mp4,3.0
71,a bus stuck in traffic during rush hour,/home/yjianhao/project/video_guidance/generated_videos/wan_guidance_nt50_f17_w0c0s0/subject_consistency/a bus stuck in traffic during rush hour.mp4,4.0
